symbol,name
RELIANCE,RELIANCE INDUSTRIES LIMITED
TCS,TATA CONSULTANCY SERVICES LIMITED
HDFCBANK,HDFC BANK LIMITED
BHARTIARTL,BHARTI AIRTEL LIMITED
ICICIBANK,ICICI BANK LIMITED
INFY,INFOSYS LIMITED
SBIN,STATE BANK OF INDIA
LICI,LIFE INSURANCE CORPORATION OF INDIA
HINDUNILVR,HINDUSTAN UNILEVER LIMITED
ITC,ITC LIMITED
LT,LARSEN & TOUBRO LIMITED
HCLTECH,HCL TECHNOLOGIES LIMITED
BAJFINANCE,BAJAJ FINANCE LIMITED
SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LIMITED
NTPC,NTPC LIMITED
MARUTI,MARUTI SUZUKI INDIA LIMITED
AXISBANK,AXIS BANK LIMITED
ONGC,OIL & NATURAL GAS CORPORATION LIMITED
M&M,MAHINDRA & MAHINDRA LIMITED
KOTAKBANK,KOTAK MAHINDRA BANK LIMITED
TATAMOTORS,TATA MOTORS LIMITED
ADANIENT,ADANI ENTERPRISES LIMITED
ULTRACEMCO,ULTRATECH CEMENT LIMITED
POWERGRID,POWER GRID CORPORATION OF INDIA LIMITED
HAL,HINDUSTAN AERONAUTICS LIMITED
TITAN,TITAN COMPANY LIMITED
ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED
DMART,AVENUE SUPERMARTS LIMITED
COALINDIA,COAL INDIA LIMITED
WIPRO,WIPRO LIMITED
BAJAJ-AUTO,BAJAJ AUTO LIMITED
ASIANPAINT,ASIAN PAINTS LIMITED
BAJAJFINSV,BAJAJ FINSERV LIMITED
ADANIGREEN,ADANI GREEN ENERGY LIMITED
SIEMENS,SIEMENS LIMITED
ADANIPOWER,ADANI POWER LIMITED
TRENT,TRENT LIMITED
NESTLEIND,NESTLE INDIA LIMITED
JSWSTEEL,JSW STEEL LIMITED
ETERNAL,ETERNAL (ZOMATO) LIMITED
HINDZINC,HINDUSTAN ZINC LIMITED
IOC,INDIAN OIL CORPORATION LIMITED
BEL,BHARAT ELECTRONICS LIMITED
IRFC,INDIAN RAILWAY FINANCE CORPORATION LIMITED
JIOFIN,JIO FINANCIAL SERVICES LIMITED
DLF,DLF LIMITED
VBL,VARUN BEVERAGES LIMITED
TATASTEEL,TATA STEEL LIMITED
VEDL,VEDANTA LIMITED
LTIM,LTIMINDTREE LIMITED
GRASIM,GRASIM INDUSTRIES LIMITED
INDIGO,INTERGLOBE AVIATION LIMITED
SBILIFE,SBI LIFE INSURANCE COMPANY LIMITED
PFC,POWER FINANCE CORPORATION LIMITED
ABB,ABB INDIA LIMITED
TECHM,TECH MAHINDRA LIMITED
PIDILITIND,PIDILITE INDUSTRIES LIMITED
HINDALCO,HINDALCO INDUSTRIES LIMITED
AMBUJACEM,AMBUJA CEMENTS LIMITED
HYUNDAI,HYUNDAI MOTOR INDIA LIMITED
HDFCLIFE,HDFC LIFE INSURANCE COMPANY LIMITED
RECLTD,REC LIMITED
DIVISLAB,DIVI'S LABORATORIES LIMITED
GAIL,GAIL (INDIA) LIMITED
BPCL,BHARAT PETROLEUM CORPORATION LIMITED
TATAPOWER,TATA POWER COMPANY LIMITED
GODREJCP,GODREJ CONSUMER PRODUCTS LIMITED
BRITANNIA,BRITANNIA INDUSTRIES LIMITED
EICHERMOT,EICHER MOTORS LIMITED
MOTHERSON,SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED
LODHA,MACROTECH DEVELOPERS LIMITED
BANKBARODA,BANK OF BARODA
CIPLA,CIPLA LIMITED
JSWENERGY,JSW ENERGY LIMITED
TVSMOTOR,TVS MOTOR COMPANY LIMITED
PNB,PUNJAB NATIONAL BANK
SHRIRAMFIN,SHRIRAM FINANCE LIMITED
CHOLAFIN,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED
BAJAJHFL,BAJAJ HOUSING FINANCE LIMITED
SWIGGY,SWIGGY LIMITED
NTPCGREEN,NTPC GREEN ENERGY LIMITED
HAVELLS,HAVELLS INDIA LIMITED
ADANIENSOL,ADANI ENERGY SOLUTIONS LIMITED
